                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3268,                0.34066,                      1,                 1.3675,               3.57e-05,               3.57e-05,               3.57e-05
                      2,                 1.3036,                0.41758,                      1,                 1.3493,             7.6596e-05,             7.6596e-05,             7.6596e-05
                      3,                 1.2911,                0.42857,                      1,                 1.3337,             0.00011537,             0.00011537,             0.00011537
                      4,                 1.2353,                0.41758,                      1,                  1.321,             0.00015203,             0.00015203,             0.00015203
                      5,                 1.2195,                0.41758,                      1,                 1.3079,             0.00018656,             0.00018656,             0.00018656
                      6,                 1.2042,                0.42857,                      1,                 1.2894,             0.00021897,             0.00021897,             0.00021897
                      7,                  1.164,                0.43956,                      1,                 1.2738,             0.00024927,             0.00024927,             0.00024927
                      8,                   1.11,                0.51648,                      1,                 1.2519,             0.00027744,             0.00027744,             0.00027744
                      9,                 1.1047,                0.53846,                      1,                 1.2301,             0.00030349,             0.00030349,             0.00030349
                     10,                 1.1219,                0.57143,                      1,                 1.2087,             0.00032742,             0.00032742,             0.00032742
                     11,                 1.0793,                0.64835,                      1,                 1.1856,             0.00034924,             0.00034924,             0.00034924
                     12,                0.99875,                0.69231,                      1,                 1.1621,             0.00036893,             0.00036893,             0.00036893
                     13,                0.92511,                0.75824,                      1,                 1.1406,              0.0003865,              0.0003865,              0.0003865
                     14,                0.89564,                0.79121,                      1,                 1.1091,             0.00040194,             0.00040194,             0.00040194
                     15,                0.87862,                 0.8022,                      1,                 1.0928,             0.00041527,             0.00041527,             0.00041527
                     16,                0.81493,                0.83516,                      1,                 1.0641,             0.00042648,             0.00042648,             0.00042648
                     17,                 0.8182,                0.83516,                      1,                 1.0485,             0.00043126,             0.00043126,             0.00043126
                     18,                0.80445,                0.86813,                      1,                 1.0238,             0.00043126,             0.00043126,             0.00043126
                     19,                0.71497,                0.92308,                      1,                 1.0124,             0.00041358,             0.00041358,             0.00041358
                     20,                0.74088,                0.93407,                      1,                 0.9873,             0.00039591,             0.00039591,             0.00039591
                     21,                0.64922,                0.94505,                      1,                 0.9707,             0.00037824,             0.00037824,             0.00037824
                     22,                0.64717,                0.94505,                      1,                0.94775,             0.00036057,             0.00036057,             0.00036057
                     23,                0.60774,                0.94505,                      1,                0.95361,              0.0003429,              0.0003429,              0.0003429
                     24,                 0.6033,                0.94505,                      1,                0.93441,             0.00032523,             0.00032523,             0.00032523
                     25,                0.57323,                0.93407,                      1,                0.93132,             0.00030756,             0.00030756,             0.00030756
                     26,                0.64499,                0.95604,                      1,                0.90592,             0.00028988,             0.00028988,             0.00028988
                     27,                0.53928,                0.96703,                      1,                0.89486,             0.00027221,             0.00027221,             0.00027221
                     28,                0.52985,                0.97802,                      1,                0.88281,             0.00025454,             0.00025454,             0.00025454
                     29,                0.56937,                0.97802,                      1,                0.87565,             0.00023687,             0.00023687,             0.00023687
                     30,                0.49226,                0.97802,                      1,                0.87337,              0.0002192,              0.0002192,              0.0002192
                     31,                0.44475,                0.97802,                      1,                0.86702,             0.00020153,             0.00020153,             0.00020153
                     32,                0.45451,                0.97802,                      1,                 0.8597,             0.00018385,             0.00018385,             0.00018385
                     33,                0.52144,                0.97802,                      1,                 0.8597,             0.00016618,             0.00016618,             0.00016618
                     34,                  0.429,                0.97802,                      1,                0.85872,             0.00014851,             0.00014851,             0.00014851
                     35,                0.46411,                0.97802,                      1,                0.85254,             0.00013084,             0.00013084,             0.00013084
                     36,                 0.3988,                0.97802,                      1,                0.85042,             0.00011317,             0.00011317,             0.00011317
                     37,                 0.4381,                0.98901,                      1,                 0.8501,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     38,                0.49441,                0.98901,                      1,                0.84635,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     39,                0.33299,                0.98901,                      1,                0.84684,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     40,                0.46539,                0.98901,                      1,                0.84912,             4.2483e-05,             4.2483e-05,             4.2483e-05
